2398
2398   ********    559 : [1.0, 0.0]
2398   ********    560 : [0.75, 0.25]
2398   ********    561 : [0.7142857142857143, 0.2857142857142857]
2398   ********    562 : [0.6666666666666666, 0.3333333333333333]
2398   ********    563 : [0.8333333333333334, 0.16666666666666666]
2398   ********    564 : [1.0, 0.0]
2398   ********    565 : [0, 0]
2398   ********    566 : [1.0, 0.0]
2398   ********    567 : [0, 0]
2398   ********    568 : [1.0, 0.0]
2398   ********    569 : [1.0, 0.0]
2398   ********    570 : [0, 0]
2398   ********    571 : [0, 0]
2398   ********    572 : [0, 0]
2398   ********    573 : [0.8571428571428571, 0.14285714285714285]
2398   ********    574 : [0, 0]
2398   ********    575 : [0, 0]
2398   ********    576 : [0, 0]
2398   ********    577 : [0.7222222222222222, 0.2777777777777778]
2398   ********    578 : [0.8571428571428571, 0.14285714285714285]
2398   ********    579 : [1.0, 0.0]
2398   ********    580 : [0, 0]
2398   ********    581 : [0.6666666666666666, 0.3333333333333333]
2398   ********    582 : [0, 0]
2398   ********    583 : [0, 0]
2398   ********    584 : [0, 0]
2398   ********    585 : [1.0, 0.0]
2398   ********    586 : [0, 0]
2398   ********    587 : [1.0, 0.0]
2398   ********    588 : [1.0, 0.0]
2398   ********    589 : [0, 0]
2398   ********    590 : [1.0, 0.0]
2398   ********    591 : [0.0, 1.0]
2398   ********    592 : [1.0, 0.0]
2398   ********    593 : [1.0, 0.0]
2398   ********    594 : [0.6666666666666666, 0.3333333333333333]
2398   ********    595 : [1.0, 0.0]
2398   ********    596 : [0, 0]
2398   ********    597 : [0.75, 0.25]
2398   ********    598 : [0.7777777777777778, 0.2222222222222222]
2398   ********    599 : [1.0, 0.0]
2398   ********    600 : [1.0, 0.0]
2398   ********    601 : [0, 0]
2398   ********    602 : [1.0, 0.0]
2398   ********    603 : [0.6666666666666666, 0.3333333333333333]
2398   ********    604 : [0, 0]
2398   ********    605 : [0, 0]
2398   ********    606 : [0, 0]
2398   ********    607 : [0, 0]
2398   ********    608 : [0, 0]
2398   ********    609 : [0.5, 0.5]
2398   ********    610 : [0.7, 0.3]
2398   ********    611 : [0.7142857142857143, 0.2857142857142857]
2398   ********    612 : [0, 0]
2398   ********    613 : [0.7777777777777778, 0.2222222222222222]
2398   ********    614 : [0.9166666666666666, 0.08333333333333333]
2398   ********    615 : [0.8, 0.2]
2398   ********    616 : [0, 0]
2398   ********    617 : [0.6666666666666666, 0.3333333333333333]
2398   ********    618 : [0, 0]
2398   ********    619 : [1.0, 0.0]
2398   ********    620 : [1.0, 0.0]
2398   ********    621 : [0.8, 0.2]
2398   ********    622 : [0, 0]
2398   ********    623 : [0.75, 0.25]
2398   ********    624 : [0, 0]
2398   ********    625 : [1.0, 0.0]
